customer_answer;Flag Atraso Transporte2_x_tratada;Flag Atraso Fornecedor3_x_tratada;Flag Atraso Coleta4_x_tratada;Flag Atraso Cliente5_x_tratada;[FLAG]Cancelado_x_tratado;[FLAG]Recompra_ff_x_tratado;[FLAG]Erro prazo transporte validacao_x_tratada;[FLAG]Cross_x_tratado;[FLAG]Atraso_criacao_OC_x_tratado;[FLAG]Reprogramacao_OC_x_tratada;[FLAG]Atraso Fornecedor_x_tratada;[FLAG] Entregue_x;[FLAG] Pratica_indevida_x;[FLAG] Sac_pos_entrega_x;[FLAG] Reversa_x_tratada;[FLAG] PJ_x;[FLAG] Mais de uma entrega_x;[FLAG]Importacao WMS_x_tratada;[FLAG] Recompra_x;[FLAG] Entrega_Mista_x_tratada;[FLAG] Virada_Faturamento_x;FLAG - Infos_encontradas_x;[FLAG] Atraso limite_x_tratado;[FLAG] Oc sem bip_x_tratado;[FLAG] Insucesso_x;[FLAG] End. N.Localizado/Ausente_x;[FLAG] Tempo Habil_x;[FLAG] Atraso Redespacho_x_tratada;[FLAG] Diarias_x_tratada;[FLAG] Atraso Coletas_x;[FLAG] Leves_x_tratada;[FLAG] Atraso CD_x;[FLAG] Recompra assistencia_x_tratada;[FLAG] Recompra Total_x_tratada;[FLAG] Atraso Cliente*_x;[FLAG] - Detrator_mais_entrega_x;[FLAG] - Categorias_detrator_x;[FLAG] Private_Label_x
10,00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1,00;0,00;0,00;0.0;0,00;1,00;0.0;0,00;1.0;0,00;1,00;0.0;0.0;0,00;0,00;0,00;0.0;0.0;0,00;0.0;0,00;0.0;0.0;0,00;0,00;0,00;0,00
10,00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1,00;0,00;0,00;0.0;0,00;0,00;0.0;0,00;0.0;0,00;0,00;0.0;0.0;0,00;0,00;0,00;0.0;0.0;0,00;0.0;0,00;0.0;0.0;0,00;0,00;0,00;0,00
10,00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1,00;0,00;0,00;0.0;0,00;0,00;0.0;0,00;0.0;0,00;0,00;0.0;0.0;0,00;0,00;0,00;0.0;0.0;0,00;0.0;0,00;0.0;0.0;0,00;0,00;1,00;0,00
10,00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1,00;0,00;0,00;0.0;0,00;0,00;0.0;0,00;0.0;0,00;0,00;0.0;0.0;0,00;0,00;0,00;0.0;0.0;0,00;0.0;0,00;0.0;0.0;0,00;0,00;1,00;1,00
10,00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1,00;0,00;0,00;0.0;0,00;0,00;0.0;0,00;0.0;0,00;0,00;0.0;0.0;0,00;0,00;0,00;0.0;0.0;0,00;0.0;0,00;0.0;0.0;0,00;0,00;1,00;0,00
10,00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1,00;0,00;0,00;0.0;0,00;0,00;0.0;0,00;0.0;0,00;0,00;0.0;0.0;0,00;0,00;0,00;0.0;0.0;0,00;0.0;0,00;0.0;0.0;0,00;0,00;0,00;1,00
10,00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1,00;0,00;0,00;0.0;0,00;0,00;0.0;0,00;0.0;0,00;0,00;0.0;0.0;0,00;0,00;0,00;0.0;0.0;0,00;0.0;0,00;0.0;0.0;0,00;0,00;0,00;0,00
10,00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1,00;0,00;0,00;0.0;0,00;1,00;0.0;0,00;1.0;0,00;1,00;0.0;0.0;0,00;0,00;0,00;0.0;0.0;0,00;0.0;0,00;0.0;0.0;0,00;0,00;0,00;0,00
10,00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1,00;0,00;0,00;0.0;0,00;1,00;0.0;0,00;1.0;0,00;1,00;0.0;0.0;0,00;0,00;0,00;0.0;0.0;0,00;0.0;0,00;0.0;0.0;0,00;0,00;1,00;1,00
10,00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1,00;0,00;0,00;0.0;0,00;0,00;0.0;0,00;0.0;0,00;0,00;0.0;0.0;0,00;0,00;0,00;0.0;0.0;0,00;0.0;0,00;0.0;0.0;0,00;0,00;1,00;1,00
10,00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1,00;0,00;0,00;0.0;0,00;0,00;0.0;0,00;0.0;0,00;0,00;0.0;0.0;0,00;0,00;0,00;0.0;0.0;0,00;0.0;0,00;0.0;0.0;0,00;0,00;1,00;0,00
10,00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1,00;0,00;0,00;0.0;0,00;0,00;0.0;0,00;0.0;0,00;0,00;0.0;0.0;0,00;0,00;0,00;0.0;0.0;0,00;0.0;0,00;0.0;0.0;0,00;0,00;1,00;0,00
10,00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1,00;0,00;0,00;0.0;0,00;1,00;0.0;0,00;0.0;0,00;1,00;0.0;0.0;0,00;0,00;0,00;0.0;0.0;0,00;0.0;0,00;0.0;0.0;0,00;0,00;0,00;0,00
10,00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1,00;0,00;0,00;0.0;0,00;0,00;0.0;0,00;0.0;0,00;0,00;0.0;0.0;0,00;0,00;0,00;0.0;0.0;0,00;0.0;0,00;0.0;0.0;0,00;0,00;0,00;0,00
10,00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1,00;0,00;0,00;0.0;0,00;1,00;0.0;0,00;1.0;0,00;1,00;0.0;0.0;0,00;0,00;0,00;0.0;0.0;0,00;0.0;0,00;0.0;0.0;0,00;0,00;0,00;0,00
