RESUMO DOS RESULTADOS;;;;;;;;
;;;;;;;;
Estatística de regressão;;;;;;;;
R múltiplo;0,810222469;;;;;;;
R-Quadrado;0,656460449;;;;;;;
R-quadrado ajustado;0,656306476;;;;;;;
Erro padrão;0,375670751;;;;;;;
Observações;13394;;;;;;;
;;;;;;;;
ANOVA;;;;;;;;
;gl;SQ;MQ;F;F de significação;;;
Regressão;6;3610,18826;601,6980433;4263,476113;0;;;
Resíduo;13387;1889,287401;0,141128513;;;;;
Total;13393;5499,475661;;;;;;
;;;;;;;;
;Coeficientes;Erro padrão;Stat t;valor-P;95% inferiores;95% superiores;Inferior 95,0%;Superior 95,0%
Interseção;9,859622356;0,003430022;2874,506619;0,00%;9,852899028;9,866345685;9,852899028;9,866345685
Flag Atraso Cliente5_soma;-0,062604937;0,007846827;-7,978376596;0,00%;-0,077985825;-0,047224049;-0,077985825;-0,047224049
[FLAG] Pratica_indevida_soma;-5,757122673;0,08896077;-64,71529748;0,00%;-5,931498343;-5,582747002;-5,931498343;-5,582747002
[FLAG] Sac_pos_entrega_soma;-0,435730615;0,028011245;-15,55556017;0,00%;-0,490636611;-0,380824618;-0,490636611;-0,380824618
[FLAG] Reversa_soma;-3,256336459;0,047674276;-68,30384745;0,00%;-3,349784772;-3,162888147;-3,349784772;-3,162888147
[FLAG] Recompra_soma;-1,925591311;0,0252804;-76,1693359;0,00%;-1,975144465;-1,876038156;-1,975144465;-1,876038156
[FLAG] Insucesso_soma;-0,018849438;0,009593672;-1,964778317;4,95%;-0,037654389;-4,44869E-05;-0,037654389;-4,44869E-05
;;;;;;;;
;;;;;;;;
;;;;;;;;
RESULTADOS DE RESÍDUOS;;;;;;;;
;;;;;;;;
Observação;Previsto(a) customer_answer;Resíduos;Resíduos padrão;;;;;
1;9,859622356;0,140377644;0,373755738;;;;;
2;9,859622356;0,140377644;0,373755738;;;;;
3;9,859622356;0,140377644;0,373755738;;;;;
4;9,859622356;0,140377644;0,373755738;;;;;
5;9,859622356;0,140377644;0,373755738;;;;;
6;9,859622356;0,140377644;0,373755738;;;;;
7;9,859622356;0,140377644;0,373755738;;;;;
8;9,859622356;0,140377644;0,373755738;;;;;
9;9,859622356;0,140377644;0,373755738;;;;;
10;9,859622356;0,140377644;0,373755738;;;;;
11;9,859622356;0,140377644;0,373755738;;;;;
12;9,859622356;0,140377644;0,373755738;;;;;
13;9,859622356;0,140377644;0,373755738;;;;;
14;9,859622356;0,140377644;0,373755738;;;;;
15;9,859622356;0,140377644;0,373755738;;;;;
16;9,859622356;0,140377644;0,373755738;;;;;
17;9,859622356;0,140377644;0,373755738;;;;;
18;9,859622356;0,140377644;0,373755738;;;;;
19;9,859622356;0,140377644;0,373755738;;;;;
20;9,859622356;0,140377644;0,373755738;;;;;
21;9,859622356;0,140377644;0,373755738;;;;;
22;9,859622356;0,140377644;0,373755738;;;;;
23;9,859622356;0,140377644;0,373755738;;;;;
24;9,859622356;0,140377644;0,373755738;;;;;
25;9,859622356;0,140377644;0,373755738;;;;;
26;9,859622356;0,140377644;0,373755738;;;;;
27;9,859622356;0,140377644;0,373755738;;;;;
28;9,859622356;0,140377644;0,373755738;;;;;
29;9,859622356;0,140377644;0,373755738;;;;;
30;9,859622356;0,140377644;0,373755738;;;;;
31;9,859622356;0,140377644;0,373755738;;;;;
32;9,859622356;0,140377644;0,373755738;;;;;
33;9,859622356;0,140377644;0,373755738;;;;;
34;9,859622356;0,140377644;0,373755738;;;;;
